Departamento;Fecha;Precip.Acumulada_(mm);Heliofanía_Relativa_(%);Rad.Solar_(xHelio)cal/cma²;Humedad_Rel.
Colonia;1/1/2022;8.3;0.0;221.7;0.0
Colonia;2/1/2022;0.0;79.4;681.7;0.0
Colonia;3/1/2022;0.0;78.7;677.4;0.0
Colonia;4/1/2022;0.0;57.7;555.1;0.0
Colonia;5/1/2022;0.0;81.0;689.1;0.0
Colonia;6/1/2022;0.0;90.2;741.6;0.0
Colonia;7/1/2022;0.0;84.6;708.4;0.0
Colonia;8/1/2022;0.0;89.0;732.6;0.0
Colonia;9/1/2022;0.0;89.8;736.0;0.0
Colonia;10/1/2022;0.0;87.0;719.0;0.0
Colonia;11/1/2022;0.0;85.7;710.4;0.0
Colonia;12/1/2022;0.0;88.7;726.2;0.0
Colonia;13/1/2022;0.0;91.6;741.5;0.0
Colonia;14/1/2022;0.0;83.9;696.3;0.0
Colonia;15/1/2022;39.9;56.9;541.6;0.0
Colonia;16/1/2022;31.9;32.8;403.3;1.0
Colonia;17/1/2022;0.8;27.8;374.4;0.0
Colonia;18/1/2022;10.6;0.0;216.1;0.0
Colonia;19/1/2022;0.2;64.4;579.3;0.0
Colonia;20/1/2022;1.1;68.8;602.7;0.0
Colonia;21/1/2022;30.5;48.8;488.8;0.0
Colonia;22/1/2022;7.3;48.2;484.2;0.0
Colonia;23/1/2022;0.0;15.9;302.1;0.0
Colonia;24/1/2022;0.0;67.8;591.0;0.0
Colonia;25/1/2022;7.0;25.3;353.0;0.0
Colonia;26/1/2022;0.0;21.0;328.1;0.0
Colonia;27/1/2022;0.0;72.6;612.2;0.0
Colonia;28/1/2022;0.0;90.8;711.0;0.0
Colonia;29/1/2022;0.0;79.4;645.9;0.0
Colonia;30/1/2022;0.0;83.9;668.4;0.0
Colonia;31/1/2022;0.0;82.6;659.2;0.0
Colonia;1/2/2022;0.0;90.1;697.8;0.0
Colonia;2/2/2022;0.0;86.6;676.6;0.0
Colonia;3/2/2022;3.5;0.0;206.2;0.0
Colonia;4/2/2022;8.8;68.5;574.2;0.0
Colonia;5/2/2022;7.2;27.3;351.2;0.0
Colonia;6/2/2022;0.0;64.4;547.8;0.0
Colonia;7/2/2022;0.0;76.4;609.5;0.0
Colonia;8/2/2022;0.0;69.9;572.5;0.0
Colonia;9/2/2022;0.0;78.2;614.2;0.0
Colonia;10/2/2022;0.0;81.4;628.2;0.0
Colonia;11/2/2022;1.7;74.1;587.3;0.0
Colonia;12/2/2022;0.5;16.5;284.8;0.0
Colonia;13/2/2022;0.0;91.8;673.8;0.0
Colonia;14/2/2022;0.0;90.5;664.0;0.0
Colonia;15/2/2022;0.0;89.2;654.1;0.0
