Id_cosecha;Superf;TT_est; Neto_KG; Toneladas_recibidas; Average of HUMEDAD; Average of PROTEINA;Max of VITASCOPIO; Average of PRIMERA+SEGUNDA; Average of CUARTA;Max of PUREZA_VARIETAL;Max of FALLING_NUMBER;Max of DON; Average of CUERPOS EXT+QUEBRADO+DAÑADO ;Count of Fertil;Cosecha;Fecha_siembra;Variedad;Departamento;Weath_ref; Precip.Acumulada_(mm); Heliofanía_Relativa_(%); Rad.Solar_(xHelio)cal/cma²; Humedad_Rel.
7800;38;133;77.330;233;10,2333;9,7333;-1;93,1667;0,6;71;-1;-1;0,8;1;2022;5/6/2022;CLE 316;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7801;36;126;183.570;184;10,6429;10,8143;-1;92,6143;0,6143;100;-1;-1;0,8571;1;2022;10/6/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7802;80;264;290.970;405;10,69;11,84;99;88,48;1,5;100;310;88;1,13;1;2022;1/6/2022;DANIELLE;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7803;19;67;201.180;201;13,9857;12,2571;100;96,3714;0,3857;100;360;233,9;1,0286;1;2022;28/4/2022;OSIRIS;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7804;128;384;653.590;530;11,8261;11,8957;100;94,0609;0,4652;100;272;133;1,8826;1;2022;2/6/2022;DANIELLE;SAN_JOSE;Colonia;346,3;65,16163265;394,1195918;0,020408163
7805;69;228;27.320;27;11,4;11,2;-1;86,8;2,3;99;-1;-1;1,3;1;2022;26/5/2022;OSIRIS;SAN_JOSE;Colonia;346,3;65,16163265;394,1195918;0,020408163
7806;20;70;55.240;55;10,4;10,15;100;95,15;0,4;100;309;0,9;1,15;1;2022;31/5/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7807;171;564;1.033.660;974;11,8441;10,7941;100;95,0471;0,3029;100;326;250;1,9059;1;2022;31/5/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7808;57;200; -   ; -   ;10,65;12,45;-1;54,35;11,9;99;-1;-1;0,8;1;2022;10/6/2022;NAHARA;SAN_JOSE;Colonia;346,3;65,16163265;394,1195918;0,020408163
7809;89;267;298.810;299;10,7083;10,9083;98;97,275;0,2167;100;288;123;1,725;1;2022;27/5/2022;FANA;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7810;130;390;469.480;469;12,7875;11,15;99;97,5625;0,2063;99;339;190,2;1,25;1;2022;1/6/2022;ARRAYAN;DURAZNO;Tacuarembo;722,6;57,64122449;376,4653061;0,163265306
7811;100;330;488.940;489;11,8563;10,2875;99;93,6938;0,5438;100;307;144;2,1;1;2022;13/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7812;120;396;466.630;451;11,937;12,737;98;90,4;0,8519;100;278;48;2,7296;1;2022;8/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7813;28;92;116.300;116;13,55;11,175;-1;94,25;0,425;100;-1;-1;1,9;1;2022;4/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7814;37;122;150.490;150;10,8833;11,9833;99;83,6333;1,5833;99;239;14;1,6833;1;2022;14/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7815;42;139;142.860;143;12,65;9,7667;98;93,75;0,6833;100;308;318;3,55;1;2022;10/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7816;60;210;278.480;218;10,5222;11,1333;98;92,6667;0,4889;100;296;26;3,0889;1;2022;19/6/2022;ARRAYAN;FLORIDA;Canelones;298,3;63,47877551;360,6836735;0,008163265
7817;50;175;225.720;226;10,4875;10,6;98;86,1625;1,3125;100;293;83;3,175;1;2022;15/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
